trial,outcome,center_in,center_out,side_in,last_side_out,actions,reward,trial_types,odors,port_side,schedule,odor_name,odor_dur
1,440.295973,438.813308,439.068641,440.24264,468.073278,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
2,470.464609,470.00061,470.03661,470.464609,505.935241,1,NaN,0,5.99999999999996,2,1,65,0.5
3,511.157235,509.399904,510.474569,511.103902,512.298567,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
4,514.384565,513.876566,513.915233,514.384565,530.983882,0,NaN,0,7.00000000000003,1,2,66,0.5
5,533.905213,533.011213,533.37188,533.851879,544.158536,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
6,550.794529,545.326534,545.441201,550.794529,551.282529,1,NaN,0,5.99999999999996,2,1,65,0.5
7,564.797182,563.773849,564.144516,564.744515,568.673178,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
8,571.729175,569.33851,571.064509,571.675841,576.51717,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
9,590.083823,584.429162,584.733162,NaN,598.041148,NaN,NaN,0,7.00000000000003,1,2,66,0.5
10,614.802465,602.179811,602.697144,NaN,NaN,NaN,NaN,0,5.99999999999996,2,1,65,0.5
11,636.694443,624.071789,624.555122,NaN,NaN,NaN,NaN,0,7.00000000000003,1,2,66,0.5
12,653.096427,648.914431,648.943098,653.043093,687.965059,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
13,689.529724,688.565725,688.907058,689.47639,699.735713,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
14,719.781693,709.785703,710.01837,NaN,810.891602,NaN,NaN,0,7.00000000000003,1,2,66,0.5
15,816.697596,816.000264,816.207597,816.697596,820.27026,1,NaN,0,5.99999999999996,2,1,65,0.5
16,829.425584,828.696251,828.784918,829.425584,839.76824,1,NaN,0,5.99999999999996,2,1,65,0.5
17,861.779551,860.560886,861.290218,861.779551,869.126211,1,NaN,0,5.99999999999996,2,1,65,0.5
18,873.398206,870.688876,870.978209,873.344873,876.58687,0,2.99999999999994,0.0299999999999997,5.99999999999996,2,1,65,0.5
19,881.858198,881.000199,881.310865,881.804865,887.034193,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
20,891.970855,890.518189,891.270189,891.970855,951.839461,1,NaN,0,5.99999999999996,2,1,65,0.5
21,962.95545,962.197451,962.481451,962.95545,967.364779,1,NaN,0,5.99999999999996,2,1,65,0.5
22,973.814773,972.081441,972.178108,973.814773,980.898766,0,NaN,0,7.00000000000003,1,2,66,0.5
23,983.486763,981.688765,982.934097,983.43343,984.708762,1,2.99999999999994,0.0299999999999997,7.00000000000003,1,2,66,0.5
